State,Year_Num,LFPR,WPR,UR,Next_LFPR_Change,Target_Improved,LFPR_YoY_Change,NonAgriculture_Pct,SecondaryPlus_Pct,VocationalTraining_Pct,PMMY_Growth,LFPR_Lag1,LFPR_Lag2
Bihar,2022,15.891666666666666,15.141666666666666,6.8,5.516666666666666,1,7.433333333333332,40.309999999999995,10.973214285714286,14.7,15.828587678462336,8.458333333333334,7.7
Chandigarh,2017,20.608333333333334,16.908333333333335,15.299999999999999,4.3553030303030305,0,,93.41333333333334,9.987134502923976,4.7,21.232553388327524,,
Chandigarh,2018,24.963636363636365,22.036363636363635,12.763636363636364,-2.0553030303030333,0,4.3553030303030305,100.0,9.984795321637428,6.2,24.39139904218508,20.608333333333334,
Chandigarh,2019,22.90833333333333,18.575,16.283333333333335,-2.9833333333333307,0,-2.0553030303030333,94.65333333333335,10.296783625730994,8.4,3.9707288676836594,24.963636363636365,20.608333333333334
Chandigarh,2020,19.925,18.8,6.991666666666667,-3.75,0,-2.9833333333333307,90.56,10.336257309941521,9.7,-18.494783558423112,22.90833333333333,24.963636363636365
Chandigarh,2021,16.175,14.950000000000001,7.8999999999999995,7.141666666666666,1,-3.75,97.03000000000002,10.447953216374268,10.5,6.0322799352542145,19.925,22.90833333333333
Chandigarh,2022,23.316666666666666,21.75,5.891666666666667,8.308333333333334,1,7.141666666666666,100.0,10.973214285714286,14.7,15.828587678462336,16.175,19.925
Chhattisgarh,2017,39.15833333333333,36.65,8.183333333333334,2.641666666666673,0,,38.03,9.987134502923976,4.7,21.232553388327524,,
Chhattisgarh,2018,41.800000000000004,40.22727272727273,5.427272727272728,-0.56666666666667,0,2.641666666666673,39.51333333333333,9.984795321637428,6.2,24.39139904218508,39.15833333333333,
Chhattisgarh,2019,41.233333333333334,39.391666666666666,6.216666666666666,0.55833333333333,0,-0.56666666666667,39.34333333333333,10.296783625730994,8.4,3.9707288676836594,41.800000000000004,39.15833333333333
Chhattisgarh,2020,41.791666666666664,40.475,4.75,-0.05833333333333002,0,0.55833333333333,0.0,10.336257309941521,9.7,-18.494783558423112,41.233333333333334,41.800000000000004
Chhattisgarh,2021,41.733333333333334,39.9,5.5,6.449999999999996,1,-0.05833333333333002,37.31666666666666,10.447953216374268,10.5,6.0322799352542145,41.791666666666664,41.233333333333334
Chhattisgarh,2022,48.18333333333333,45.916666666666664,6.383333333333333,1.2083333333333428,0,6.449999999999996,42.78666666666667,10.973214285714286,14.7,15.828587678462336,41.733333333333334,41.791666666666664
Delhi,2017,9.716666666666667,8.458333333333334,9.475,9.11969696969697,1,,100.0,9.987134502923976,4.7,21.232553388327524,,
Delhi,2018,18.836363636363636,17.154545454545453,10.363636363636363,-4.261363636363635,0,9.11969696969697,99.59333333333332,9.984795321637428,6.2,24.39139904218508,9.716666666666667,
Delhi,2019,14.575000000000001,13.191666666666668,9.674999999999999,-2.8916666666666693,0,-4.261363636363635,92.23,10.296783625730994,8.4,3.9707288676836594,18.836363636363636,9.716666666666667
Delhi,2020,11.683333333333332,10.833333333333334,6.566666666666666,-0.29999999999999893,0,-2.8916666666666693,96.34,10.336257309941521,9.7,-18.494783558423112,14.575000000000001,18.836363636363636
Delhi,2021,11.383333333333333,10.758333333333333,4.916666666666667,-0.2749999999999986,0,-0.29999999999999893,99.93666666666667,10.447953216374268,10.5,6.0322799352542145,11.683333333333332,14.575000000000001
Delhi,2022,11.108333333333334,10.808333333333332,2.158333333333333,6.091666666666665,1,-0.2749999999999986,100.0,10.973214285714286,14.7,15.828587678462336,11.383333333333333,11.683333333333332
Goa,2017,33.824999999999996,23.349999999999998,29.958333333333332,1.6386363636363654,0,,82.83333333333333,9.987134502923976,4.7,21.232553388327524,,
Goa,2018,35.46363636363636,27.818181818181817,22.66363636363636,-7.338636363636361,0,1.6386363636363654,87.17666666666666,9.984795321637428,6.2,24.39139904218508,33.824999999999996,
Goa,2019,28.125,23.0,18.091666666666665,0.11666666666666359,0,-7.338636363636361,68.46,10.296783625730994,8.4,3.9707288676836594,35.46363636363636,33.824999999999996
Goa,2020,28.241666666666664,22.275000000000002,20.533333333333335,-6.0,0,0.11666666666666359,42.25,10.336257309941521,9.7,-18.494783558423112,28.125,35.46363636363636
Goa,2021,22.241666666666664,16.083333333333332,26.53333333333333,8.350000000000005,1,-6.0,82.95333333333333,10.447953216374268,10.5,6.0322799352542145,28.241666666666664,28.125
Goa,2022,30.59166666666667,23.383333333333336,22.525000000000002,-1.9500000000000028,0,8.350000000000005,78.63333333333333,10.973214285714286,14.7,15.828587678462336,22.241666666666664,28.241666666666664
Gujarat,2017,18.35833333333333,17.241666666666667,6.125,3.4234848484848506,0,,51.52333333333333,9.987134502923976,4.7,21.232553388327524,,
Gujarat,2018,21.78181818181818,21.10909090909091,3.590909090909091,6.001515151515154,1,3.4234848484848506,49.07333333333333,9.984795321637428,6.2,24.39139904218508,18.35833333333333,
Gujarat,2019,27.783333333333335,27.258333333333336,2.3249999999999997,1.4916666666666671,0,6.001515151515154,46.129999999999995,10.296783625730994,8.4,3.9707288676836594,21.78181818181818,18.35833333333333
Gujarat,2020,29.275000000000002,28.46666666666667,3.6666666666666665,1.5999999999999979,0,1.4916666666666671,0.0,10.336257309941521,9.7,-18.494783558423112,27.783333333333335,21.78181818181818
Gujarat,2021,30.875,30.3,2.225,6.616666666666667,1,1.5999999999999979,49.32666666666666,10.447953216374268,10.5,6.0322799352542145,29.275000000000002,27.783333333333335
Gujarat,2022,37.49166666666667,36.65,2.7999999999999994,4.433333333333337,0,6.616666666666667,49.949999999999996,10.973214285714286,14.7,15.828587678462336,30.875,29.275000000000002
Haryana,2017,13.258333333333333,11.141666666666666,16.458333333333332,2.414393939393941,0,,59.330000000000005,9.987134502923976,4.7,21.232553388327524,,
Haryana,2018,15.672727272727274,14.0,12.254545454545456,-0.8143939393939394,0,2.414393939393941,65.18333333333334,9.984795321637428,6.2,24.39139904218508,13.258333333333333,
Haryana,2019,14.858333333333334,13.375,10.575000000000001,1.8583333333333307,0,-0.8143939393939394,62.47666666666667,10.296783625730994,8.4,3.9707288676836594,15.672727272727274,13.258333333333333
Haryana,2020,16.716666666666665,15.225,10.058333333333334,0.5833333333333357,0,1.8583333333333307,0.0,10.336257309941521,9.7,-18.494783558423112,14.858333333333334,15.672727272727274
