Country,Year,Gender,Type Of Areas,Age Group,Status Of Usual Activity,Industry Of Usual Activity,"Not Literates Under Highest Level Of Education Successfully Completed (UOM:%(Percentage)), Scaling Factor:1","Literates Upto Primary Level Of Education Under Highest Level Of Education Completed (UOM:%(Percentage)), Scaling Factor:1","Persons With Middle Level Education Under Highest Level Of Education Completed (UOM:%(Percentage)), Scaling Factor:1","Persons With Secondary Level Education Under Highest Level Of Education Completed (UOM:%(Percentage)), Scaling Factor:1","Persons With Higher Secondary Level Education Under Highest Level Of Education Completed (UOM:%(Percentage)), Scaling Factor:1","Persons With Diploma Or Certificate Course Under Highest Level Of Education Completed (UOM:%(Percentage)), Scaling Factor:1","Graduates Under Highest Level Of Education Completed (UOM:%(Percentage)), Scaling Factor:1","Post Graduates And Above Under Highest Level Of Education Completed (UOM:%(Percentage)), Scaling Factor:1","Persons With Secondary Level And Above Education Under Highest Level Of Education Completed (UOM:%(Percentage)), Scaling Factor:1","All Persons Under Highest Level Of Education Completed (UOM:%(Percentage)), Scaling Factor:1","Estimated Persons Under Highest Level Of Education Completed (UOM:Number), Scaling Factor:1","Sample Persons Under Highest Level Of Education Completed (UOM:Number), Scaling Factor:1"
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,15-29 years,41 & 51,01-99,40.5,38.8,21.2,11.0,6.8,10.7,2.9,1.2,7.8,17.0,181328.0,4903.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,15-29 years,11-51,01-03,40.9,35.4,26.6,17.0,18.5,16.1,18.9,22.1,18.0,23.7,252909.0,7602.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,15-29 years,11-51,01-99,77.9,78.5,56.8,39.2,38.4,62.4,49.2,60.1,42.0,52.5,559532.0,17368.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,15-29 years,11-51,05-43,28.8,30.5,19.2,12.2,8.2,23.1,7.9,2.8,10.1,16.1,171934.0,5082.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,15-29 years,11-51,45-99,8.2,12.7,11.0,10.0,11.7,23.1,22.4,35.3,13.9,12.6,134688.0,4684.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,15-29 years,81,,5.6,4.7,5.7,4.9,7.2,22.2,26.7,28.4,10.8,8.4,89235.0,3125.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,15-29 years,11-81,,83.6,83.2,62.5,44.1,45.6,84.6,75.9,88.6,52.8,60.8,648766.0,20493.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,15-29 years,UR,,6.7,5.7,9.2,11.1,15.7,26.3,35.2,32.1,20.4,13.8,,
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,15-29 years,91,,1.3,11.8,34.1,54.4,53.1,14.6,22.3,9.9,45.8,36.0,384325.0,13863.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,15-29 years,92,,1.1,1.2,1.1,0.7,0.6,0.8,1.3,1.2,0.8,0.9,9881.0,368.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,15-29 years,93,,0.3,1.0,0.7,0.2,0.1,0.0,0.1,0.1,0.1,0.4,4109.0,116.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,15-29 years,94,,0.3,0.3,0.3,0.0,0.0,0.0,0.1,0.0,0.1,0.1,1566.0,35.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,15-29 years,95,,11.0,1.4,0.6,0.3,0.1,0.0,0.1,0.0,0.2,1.0,10938.0,250.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,15-29 years,97,,2.4,1.2,0.8,0.4,0.4,0.0,0.2,0.2,0.3,0.7,7185.0,214.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,15-29 years,99,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,15-29 years,91-99,,16.4,16.8,37.5,55.9,54.4,15.4,24.1,11.4,47.2,39.2,418004.0,14846.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,15-29 years,11-99,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1066770.0,35339.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,15 years and above,"11,12",01-03,34.4,30.4,23.8,19.8,14.7,9.5,15.9,12.8,16.8,24.7,704382.0,21671.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,15 years and above,"11,12",01-96,41.9,43.1,36.5,31.9,24.4,22.2,28.2,24.8,28.2,35.8,1021753.0,32130.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,15 years and above,"11,12",05-43,2.5,4.3,3.9,3.3,1.7,4.0,1.8,1.5,2.5,3.2,90401.0,2952.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,15 years and above,"11,12",45-96,5.0,8.5,8.7,8.8,8.0,8.7,10.5,10.5,8.9,8.0,226970.0,7507.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,15 years and above,21,01-03,3.6,5.6,8.3,7.2,10.3,7.4,8.8,7.4,8.5,6.9,196279.0,6154.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,15 years and above,21,01-96,3.7,6.1,9.3,8.1,11.6,8.2,10.5,8.0,9.6,7.7,218887.0,6879.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,15 years and above,21,05-43,0.1,0.2,0.3,0.4,0.3,0.2,0.2,0.0,0.3,0.2,6510.0,216.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,15 years and above,21,45-96,0.1,0.3,0.7,0.5,1.0,0.7,1.5,0.5,0.9,0.6,16098.0,509.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,15 years and above,11-21,01-03,38.0,35.9,32.2,27.1,24.9,16.8,24.6,20.3,25.3,31.5,900661.0,27825.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,15 years and above,11-21,01-96,45.7,49.2,45.8,40.0,35.9,30.4,38.6,32.8,37.8,43.5,1240640.0,39009.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,15 years and above,11-21,05-43,2.6,4.5,4.3,3.7,1.9,4.2,2.0,1.5,2.7,3.4,96911.0,3168.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,15 years and above,11-21,45-96,5.1,8.8,9.3,9.3,9.1,9.4,12.0,11.1,9.8,8.5,243068.0,8016.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,15 years and above,31,01-03,0.4,0.7,0.6,0.6,0.9,1.3,1.3,1.5,0.9,0.7,19807.0,826.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,15 years and above,31,01-99,2.5,6.3,9.5,11.3,13.9,34.0,27.1,44.0,17.2,10.3,293498.0,11029.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,15 years and above,31,05-43,0.7,2.3,3.4,3.7,3.7,14.5,5.6,2.5,4.4,3.0,85296.0,2984.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,15 years and above,31,45-99,1.4,3.3,5.5,6.9,9.4,18.2,20.2,40.1,11.9,6.6,188395.0,7219.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,15 years and above,41,,0.6,0.3,0.2,0.2,0.2,0.0,0.0,0.0,0.1,0.3,8393.0,310.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,15 years and above,51,01-03,16.9,13.2,7.4,4.7,2.9,1.7,1.5,0.6,3.3,9.0,255521.0,6046.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,15 years and above,51,01-99,30.7,30.7,21.1,12.9,7.6,9.1,3.3,1.4,8.8,20.4,581705.0,15557.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,15 years and above,51,05-43,13.2,15.9,12.3,7.4,4.1,5.4,1.5,0.7,4.9,10.4,297927.0,8622.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,15 years and above,51,45-99,0.7,1.5,1.3,0.8,0.6,2.0,0.2,0.1,0.7,1.0,28257.0,889.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,15 years and above,41 & 51,01-99,31.4,31.0,21.4,13.1,7.8,9.1,3.3,1.4,9.0,20.7,590098.0,15867.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,15 years and above,11-51,01-03,55.2,49.9,40.3,32.4,28.7,19.8,27.4,22.3,29.4,41.2,1175988.0,34697.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,15 years and above,11-51,01-99,79.6,86.5,76.6,64.4,57.6,73.4,69.0,78.3,63.9,74.4,2124236.0,65905.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,15 years and above,11-51,05-43,17.1,23.0,20.2,15.0,9.9,24.1,9.2,4.7,12.2,17.1,488527.0,15084.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,15 years and above,11-51,45-99,7.2,13.6,16.2,17.0,19.1,29.5,32.4,51.2,22.3,16.1,459721.0,16124.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,15 years and above,81,,0.7,1.3,2.8,2.8,5.0,14.5,15.3,12.3,6.6,3.5,99205.0,3506.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,15 years and above,11-81,,80.3,87.8,79.5,67.2,62.6,88.0,84.3,90.6,70.5,77.9,2223441.0,69411.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,15 years and above,UR,,0.9,1.4,3.5,4.2,7.9,16.5,18.1,13.6,9.3,4.5,,
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,15 years and above,91,,0.3,2.8,15.3,28.0,34.2,8.7,11.9,3.5,25.4,13.5,386170.0,13913.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,15 years and above,92,,1.0,0.8,0.7,0.6,0.5,0.6,0.9,0.5,0.6,0.8,21531.0,792.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,15 years and above,93,,0.4,0.4,0.4,0.1,0.1,0.0,0.1,0.5,0.1,0.3,8771.0,284.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,15 years and above,94,,9.5,4.6,2.3,2.7,1.9,2.0,2.2,4.7,2.4,4.3,122669.0,3737.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,15 years and above,95,,3.9,1.7,1.0,0.7,0.2,0.3,0.2,0.1,0.4,1.5,43017.0,1241.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,15 years and above,97,,4.6,1.8,0.9,0.8,0.5,0.5,0.4,0.1,0.6,1.7,49171.0,1360.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,15 years and above,99,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,15 years and above,91-99,,19.7,12.2,20.5,32.8,37.4,12.0,15.7,9.4,29.5,22.1,631329.0,21327.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,15 years and above,11-99,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2854771.0,90738.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,all ages,"11,12",01-03,20.6,14.3,21.1,19.7,14.7,9.5,15.9,12.8,16.8,17.8,704866.0,21679.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,all ages,"11,12",01-96,25.1,20.2,32.2,31.8,24.4,22.2,28.2,24.8,28.1,25.8,1022289.0,32141.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,all ages,"11,12",05-43,1.5,2.0,3.5,3.3,1.7,4.0,1.8,1.5,2.5,2.3,90402.0,2953.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,all ages,"11,12",45-96,3.0,4.0,7.7,8.7,8.0,8.7,10.5,10.5,8.9,5.7,227022.0,7509.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,all ages,21,01-03,2.2,2.7,7.5,7.2,10.3,7.4,8.8,7.4,8.5,5.0,198691.0,6221.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,all ages,21,01-96,2.3,3.0,8.3,8.0,11.6,8.2,10.5,8.0,9.6,5.6,221648.0,6954.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,all ages,21,05-43,0.0,0.1,0.3,0.4,0.3,0.2,0.2,0.0,0.3,0.2,6752.0,220.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,all ages,21,45-96,0.1,0.2,0.6,0.5,1.0,0.7,1.5,0.5,0.9,0.4,16205.0,513.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,all ages,11-21,01-03,22.7,17.0,28.5,26.9,24.9,16.8,24.6,20.3,25.2,22.8,903558.0,27900.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,all ages,11-21,01-96,27.3,23.2,40.5,39.8,35.9,30.4,38.6,32.8,37.7,31.4,1243937.0,39095.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,all ages,11-21,05-43,1.6,2.1,3.8,3.7,1.9,4.2,2.0,1.5,2.7,2.5,97153.0,3173.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,all ages,11-21,45-96,3.0,4.1,8.3,9.2,9.1,9.4,12.0,11.1,9.7,6.1,243226.0,8022.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,all ages,31,01-03,0.2,0.3,0.6,0.6,0.9,1.3,1.3,1.5,0.9,0.5,19807.0,826.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,all ages,31,01-99,1.5,3.0,8.4,11.2,13.9,34.0,27.1,44.0,17.1,7.4,294109.0,11039.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,all ages,31,05-43,0.4,1.1,3.0,3.7,3.7,14.5,5.6,2.5,4.4,2.2,85326.0,2985.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,all ages,31,45-99,0.8,1.6,4.9,6.9,9.4,18.2,20.2,40.1,11.9,4.8,188976.0,7228.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,all ages,41,,0.4,0.1,0.2,0.2,0.2,0.0,0.0,0.0,0.1,0.2,8393.0,310.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,all ages,51,01-03,10.1,6.2,6.6,4.7,2.9,1.7,1.5,0.6,3.3,6.5,255940.0,6054.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,all ages,51,01-99,18.4,14.4,18.7,12.8,7.6,9.1,3.3,1.4,8.8,14.7,582578.0,15577.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,all ages,51,05-43,7.9,7.5,10.9,7.3,4.1,5.4,1.5,0.7,4.9,7.5,298372.0,8631.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,all ages,51,45-99,0.4,0.7,1.2,0.8,0.6,2.0,0.2,0.1,0.7,0.7,28266.0,892.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,all ages,41 & 51,01-99,18.8,14.5,18.9,13.0,7.8,9.1,3.3,1.4,8.9,14.9,590972.0,15887.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,all ages,11-51,01-03,33.1,23.5,35.7,32.2,28.7,19.8,27.4,22.3,29.4,29.8,1179305.0,34780.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,all ages,11-51,01-99,47.6,40.8,67.8,64.0,57.6,73.4,69.0,78.3,63.8,53.8,2129018.0,66021.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,all ages,11-51,05-43,10.3,10.8,17.8,14.9,9.9,24.1,9.2,4.7,12.1,12.4,489244.0,15099.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,all ages,11-51,45-99,4.3,6.4,14.3,16.9,19.1,29.5,32.4,51.2,22.3,11.6,460469.0,16142.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,all ages,81,,0.4,0.7,2.5,2.8,5.0,14.5,15.3,12.3,6.6,2.5,100903.0,3532.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,all ages,11-81,,48.1,41.5,70.4,66.8,62.6,88.0,84.3,90.6,70.4,56.3,2229921.0,69553.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,all ages,UR,,0.9,1.7,3.6,4.2,7.9,16.5,18.1,13.6,9.3,4.5,,
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,all ages,91,,5.7,52.7,24.8,28.3,34.2,8.7,11.9,3.5,25.5,28.3,1120215.0,35379.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,all ages,92,,0.7,0.5,0.7,0.6,0.5,0.6,0.9,0.5,0.6,0.6,23617.0,856.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,all ages,93,,0.3,0.2,0.3,0.1,0.1,0.0,0.1,0.5,0.1,0.2,9351.0,297.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,all ages,94,,5.7,2.2,2.0,2.7,1.9,2.0,2.2,4.7,2.4,3.1,122962.0,3741.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,all ages,95,,2.5,0.8,0.8,0.7,0.2,0.3,0.2,0.1,0.4,1.2,45532.0,1304.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,all ages,97,,5.8,1.3,0.9,0.8,0.5,0.5,0.4,0.1,0.6,2.2,85135.0,2099.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,all ages,99,,31.3,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,321995.0,9233.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,all ages,91-99,,51.9,58.5,29.6,33.2,37.4,12.0,15.7,9.4,29.6,43.7,1728807.0,52909.0
India,"PLFS Year (Jul - Jun), 2019",Male,Rural,all ages,11-99,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3958728.0,122462.0
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,15-29 years,"11,12",01-03,2.6,2.3,0.8,0.6,0.6,1.0,0.8,0.2,0.6,1.1,11573.0,460.0
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,15-29 years,"11,12",01-96,3.6,3.8,2.8,2.5,2.6,3.4,3.5,3.2,2.7,3.0,30467.0,1226.0
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,15-29 years,"11,12",05-43,1.0,1.2,1.7,1.7,1.3,2.1,1.5,0.5,1.5,1.4,14719.0,571.0
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,15-29 years,"11,12",45-96,0.0,0.3,0.3,0.2,0.6,0.3,1.2,2.5,0.6,0.4,4176.0,195.0
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,15-29 years,21,01-03,15.6,11.5,9.2,5.5,5.4,6.6,3.5,4.3,5.1,8.2,83339.0,2638.0
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,15-29 years,21,01-96,16.3,12.3,9.6,6.1,5.8,7.4,3.9,4.3,5.6,8.8,88951.0,2819.0
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,15-29 years,21,05-43,0.5,0.6,0.2,0.3,0.3,0.0,0.0,0.1,0.2,0.3,2975.0,79.0
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,15-29 years,21,45-96,0.2,0.3,0.3,0.3,0.2,0.8,0.3,0.0,0.3,0.3,2637.0,102.0
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,15-29 years,11-21,01-03,18.2,13.8,10.0,6.1,6.0,7.6,4.3,4.5,5.7,9.3,94912.0,3098.0
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,15-29 years,11-21,01-96,19.9,16.2,12.4,8.6,8.4,10.8,7.4,7.5,8.3,11.8,119419.0,4045.0
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,15-29 years,11-21,05-43,1.5,1.8,1.8,2.0,1.6,2.1,1.5,0.6,1.7,1.7,17694.0,650.0
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,15-29 years,11-21,45-96,0.2,0.6,0.5,0.5,0.8,1.1,1.5,2.5,0.9,0.7,6812.0,297.0
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,15-29 years,31,01-03,0.8,0.6,0.1,0.1,0.2,0.0,0.3,0.5,0.2,0.3,2827.0,93.0
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,15-29 years,31,01-99,1.1,1.1,0.9,1.3,2.2,18.0,7.4,24.2,3.8,2.4,23919.0,965.0
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,15-29 years,31,05-43,0.2,0.2,0.3,0.5,0.4,0.9,0.5,0.3,0.4,0.3,3396.0,131.0
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,15-29 years,31,45-99,0.1,0.3,0.5,0.8,1.7,17.0,6.6,23.4,3.2,1.7,17695.0,741.0
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,15-29 years,41,,0.3,0.4,0.3,0.2,0.2,0.0,0.0,0.5,0.2,0.3,2767.0,85.0
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,15-29 years,51,01-03,7.1,6.4,3.5,1.9,1.2,0.7,0.4,0.0,1.3,3.2,32755.0,753.0
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,15-29 years,51,01-99,10.1,8.4,4.3,2.3,1.4,0.7,0.5,0.0,1.5,4.2,42407.0,950.0
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,15-29 years,51,05-43,2.9,2.0,0.8,0.3,0.2,0.0,0.1,0.0,0.2,0.9,9200.0,186.0
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,15-29 years,51,45-99,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,452.0,11.0
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,15-29 years,41 & 51,01-99,10.4,8.8,4.7,2.5,1.6,0.7,0.5,0.5,1.7,4.4,45174.0,1035.0
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,15-29 years,11-51,01-03,26.2,20.8,13.6,8.1,7.4,8.3,5.0,5.0,7.2,12.9,130495.0,3944.0
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,15-29 years,11-51,01-99,31.4,26.1,17.9,12.4,12.3,29.4,15.3,32.2,13.9,18.6,188511.0,6045.0
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,15-29 years,11-51,05-43,4.9,4.4,3.3,2.9,2.4,3.0,2.2,1.4,2.5,3.3,33057.0,1052.0
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,15-29 years,11-51,45-99,0.3,0.9,1.1,1.4,2.5,18.2,8.1,25.8,4.1,2.5,24960.0,1049.0
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,15-29 years,81,,0.0,0.4,0.7,0.9,1.9,11.1,11.7,17.6,3.9,2.1,21566.0,978.0
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,15-29 years,11-81,,31.5,26.4,18.6,13.4,14.2,40.5,27.0,49.8,17.8,20.7,210077.0,7023.0
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,15-29 years,UR,,0.1,1.4,3.8,6.9,13.4,27.3,43.2,35.4,21.9,10.3,,
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,15-29 years,91,,0.5,10.1,28.5,48.7,45.4,15.3,20.6,12.9,40.9,28.9,293337.0,10340.0
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,15-29 years,92,,38.0,38.2,33.5,25.6,28.5,32.4,37.9,24.4,28.8,32.4,328737.0,9986.0
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,15-29 years,93,,25.8,23.8,18.4,11.5,11.2,10.6,14.1,12.8,11.9,16.8,170587.0,4504.0
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,15-29 years,94,,1.9,0.5,0.6,0.4,0.3,0.2,0.2,0.1,0.3,0.6,5717.0,123.0
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,15-29 years,95,,1.4,0.5,0.2,0.2,0.1,0.0,0.0,0.0,0.1,0.3,3451.0,117.0
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,15-29 years,97,,0.9,0.4,0.2,0.3,0.3,0.9,0.2,0.0,0.3,0.3,3322.0,99.0
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,15-29 years,99,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,15-29 years,91-99,,68.5,73.6,81.4,86.6,85.8,59.5,73.0,50.2,82.2,79.3,805151.0,25169.0
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,15-29 years,11-99,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1015228.0,32192.0
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,15 years and above,"11,12",01-03,6.0,5.3,3.2,2.8,1.7,3.6,1.6,0.3,2.1,4.4,125021.0,4971.0
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,15 years and above,"11,12",01-96,7.5,8.0,5.7,5.9,4.5,10.9,4.2,4.1,5.1,6.7,189376.0,7410.0
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,15 years and above,"11,12",05-43,0.9,2.0,1.8,2.1,1.9,3.4,1.2,1.0,1.9,1.5,42800.0,1547.0
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,15 years and above,"11,12",45-96,0.6,0.7,0.7,0.9,0.8,3.9,1.4,2.9,1.1,0.8,21555.0,892.0
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,15 years and above,21,01-03,16.8,14.3,11.7,7.6,6.4,6.7,3.6,4.3,6.4,12.8,364358.0,11635.0
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,15 years and above,21,01-96,17.4,15.5,12.5,8.6,7.0,7.1,4.0,4.7,7.1,13.6,386421.0,12358.0
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,15 years and above,21,05-43,0.3,0.5,0.2,0.3,0.3,0.0,0.0,0.1,0.2,0.3,8678.0,246.0
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,15 years and above,21,45-96,0.3,0.7,0.6,0.8,0.3,0.4,0.3,0.3,0.5,0.5,13384.0,477.0
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,15 years and above,11-21,01-03,22.8,19.5,14.9,10.4,8.1,10.2,5.2,4.6,8.5,17.2,489379.0,16606.0
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,15 years and above,11-21,01-96,24.9,23.4,18.3,14.5,11.4,18.0,8.1,8.8,12.2,20.2,575797.0,19768.0
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,15 years and above,11-21,05-43,1.2,2.5,2.1,2.4,2.2,3.4,1.2,1.1,2.1,1.8,51479.0,1793.0
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,15 years and above,11-21,45-96,0.9,1.4,1.3,1.7,1.1,4.3,1.7,3.1,1.6,1.2,34939.0,1369.0
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,15 years and above,31,01-03,0.5,0.6,0.3,0.3,0.3,0.0,0.4,0.5,0.3,0.4,11963.0,392.0
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,15 years and above,31,01-99,1.3,2.1,2.5,3.8,4.9,19.3,12.2,28.9,6.9,3.1,87462.0,3510.0
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,15 years and above,31,05-43,0.2,0.3,0.5,0.6,0.4,1.5,0.6,0.4,0.5,0.4,10917.0,381.0
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,15 years and above,31,45-99,0.6,1.2,1.7,3.0,4.1,17.8,11.2,28.1,6.1,2.3,64582.0,2737.0
India,"PLFS Year (Jul - Jun), 2019",Female,Rural,15 years and above,41,,1.2,1.1,0.9,0.4,0.3,0.5,0.1,0.3,0.3,0.9,25351.0,872.0
