Country,State,Year,Type Of Areas,Age Group,Gender,"Labour Force Participation Rate According To Usual Status (Ps+Ss) (UOM:%(Percentage)), Scaling Factor:1","Worker Population Rate According To Usual Status (Ps+Ss) (UOM:%(Percentage)), Scaling Factor:1"," Unemployment Rate According To Usual Status (Ps+Ss) (UOM:%(Percentage)), Scaling Factor:1"
India,Assam,"PLFS Year (Jul - Jun), 2023",Urban,15 years and above,Male,80,75.4,5.7
India,Assam,"PLFS Year (Jul - Jun), 2023",Urban,15 years and above,Female,31.5,27.8,11.8
India,Assam,"PLFS Year (Jul - Jun), 2023",Urban,15 years and above,Persons,55.8,51.6,7.4
India,Assam,"PLFS Year (Jul - Jun), 2023",Urban,All Ages,Male,64.3,60.6,5.7
India,Assam,"PLFS Year (Jul - Jun), 2023",Urban,All Ages,Female,25.5,22.5,11.8
India,Assam,"PLFS Year (Jul - Jun), 2023",Urban,All Ages,Persons,45,41.7,7.4
India,Assam,"PLFS Year (Jul - Jun), 2023",Rural + Urban,15-29 years,Male,67.3,58.1,13.7
India,Assam,"PLFS Year (Jul - Jun), 2023",Rural + Urban,15-29 years,Female,35.1,30,14.7
India,Assam,"PLFS Year (Jul - Jun), 2023",Rural + Urban,15-29 years,Persons,51.3,44,14.1
India,Assam,"PLFS Year (Jul - Jun), 2023",Rural + Urban,15-59 years,Male,87.3,83.7,4.2
India,Assam,"PLFS Year (Jul - Jun), 2023",Rural + Urban,15-59 years,Female,52.8,50.5,4.4
India,Assam,"PLFS Year (Jul - Jun), 2023",Rural + Urban,15-59 years,Persons,70.2,67.2,4.3
India,Assam,"PLFS Year (Jul - Jun), 2023",Rural + Urban,15 years and above,Male,83.3,80.2,3.8
India,Assam,"PLFS Year (Jul - Jun), 2023",Rural + Urban,15 years and above,Female,50.2,48.1,4.1
India,Assam,"PLFS Year (Jul - Jun), 2023",Rural + Urban,15 years and above,Persons,66.9,64.3,3.9
India,Assam,"PLFS Year (Jul - Jun), 2023",Rural + Urban,All Ages,Male,61.1,58.8,3.8
India,Assam,"PLFS Year (Jul - Jun), 2023",Rural + Urban,All Ages,Female,36.8,35.3,4.1
India,Assam,"PLFS Year (Jul - Jun), 2023",Rural + Urban,All Ages,Persons,49.1,47.2,3.9
India,Bihar,"PLFS Year (Jul - Jun), 2023",Rural,15-29 years,Male,55.5,49.6,10.6
India,Bihar,"PLFS Year (Jul - Jun), 2023",Rural,15-29 years,Female,15.3,14.9,2.1
