Country,State,Year,Type Of Areas,Age Group,Gender,"Labour Force Participation Rate According To Usual Status (Ps+Ss) (UOM:%(Percentage)), Scaling Factor:1","Worker Population Rate According To Usual Status (Ps+Ss) (UOM:%(Percentage)), Scaling Factor:1"," Unemployment Rate According To Usual Status (Ps+Ss) (UOM:%(Percentage)), Scaling Factor:1"
India,Delhi,"PLFS Year (Jul - Jun), 2019",Urban,15-59 years,Persons,51.5,46.8,9.2
India,Delhi,"PLFS Year (Jul - Jun), 2019",Urban,15 years and above,Male,73.7,67.4,8.6
India,Delhi,"PLFS Year (Jul - Jun), 2019",Urban,15 years and above,Female,16,14.3,10.2
India,Delhi,"PLFS Year (Jul - Jun), 2019",Urban,15 years and above,Persons,47.4,43.2,8.8
India,Delhi,"PLFS Year (Jul - Jun), 2019",Urban,All Ages,Male,58.1,53,8.7
India,Delhi,"PLFS Year (Jul - Jun), 2019",Urban,All Ages,Female,12.7,11.4,10.2
India,Delhi,"PLFS Year (Jul - Jun), 2019",Urban,All Ages,Persons,37.5,34.1,8.9
India,Delhi,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15-29 years,Male,59,46.3,21.6
India,Delhi,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15-29 years,Female,12.7,9.2,27.5
India,Delhi,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15-29 years,Persons,38.8,30.1,22.5
India,Delhi,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15-59 years,Male,79.6,72.7,8.7
India,Delhi,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15-59 years,Female,17.4,15.6,10.3
India,Delhi,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15-59 years,Persons,51.3,46.7,9
India,Delhi,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15 years and above,Male,73.5,67.4,8.4
India,Delhi,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15 years and above,Female,16.1,14.5,9.8
India,Delhi,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15 years and above,Persons,47.3,43.3,8.6
India,Delhi,"PLFS Year (Jul - Jun), 2019",Rural + Urban,All Ages,Male,57.5,52.6,8.5
India,Delhi,"PLFS Year (Jul - Jun), 2019",Rural + Urban,All Ages,Female,12.8,11.5,9.8
India,Delhi,"PLFS Year (Jul - Jun), 2019",Rural + Urban,All Ages,Persons,37.2,34,8.7
India,Goa,"PLFS Year (Jul - Jun), 2019",Rural,15-29 years,Male,64.1,52.8,17.6
India,Goa,"PLFS Year (Jul - Jun), 2019",Rural,15-29 years,Female,22.8,12.3,46.2
India,Goa,"PLFS Year (Jul - Jun), 2019",Rural,15-29 years,Persons,43,32.1,25.4
India,Goa,"PLFS Year (Jul - Jun), 2019",Rural,15-59 years,Male,82.8,77.9,5.9
India,Goa,"PLFS Year (Jul - Jun), 2019",Rural,15-59 years,Female,28.8,25,13.2
India,Goa,"PLFS Year (Jul - Jun), 2019",Rural,15-59 years,Persons,54.5,50.1,7.9
India,Goa,"PLFS Year (Jul - Jun), 2019",Rural,15 years and above,Male,76,71.7,5.7
India,Goa,"PLFS Year (Jul - Jun), 2019",Rural,15 years and above,Female,25.5,22.3,12.5
India,Goa,"PLFS Year (Jul - Jun), 2019",Rural,15 years and above,Persons,48.9,45.1,7.6
India,Goa,"PLFS Year (Jul - Jun), 2019",Rural,All Ages,Male,61,57.5,5.7
India,Goa,"PLFS Year (Jul - Jun), 2019",Rural,All Ages,Female,20.4,17.9,12.5
India,Goa,"PLFS Year (Jul - Jun), 2019",Rural,All Ages,Persons,39.1,36.1,7.6
India,Goa,"PLFS Year (Jul - Jun), 2019",Urban,15-29 years,Male,63.3,48.7,23
India,Goa,"PLFS Year (Jul - Jun), 2019",Urban,15-29 years,Female,37.7,27.2,27.9
India,Goa,"PLFS Year (Jul - Jun), 2019",Urban,15-29 years,Persons,50.1,37.6,24.9
India,Goa,"PLFS Year (Jul - Jun), 2019",Urban,15-59 years,Male,82.8,76.6,7.5
India,Goa,"PLFS Year (Jul - Jun), 2019",Urban,15-59 years,Female,33.8,29.7,12.1
India,Goa,"PLFS Year (Jul - Jun), 2019",Urban,15-59 years,Persons,58.8,53.6,8.8
India,Goa,"PLFS Year (Jul - Jun), 2019",Urban,15 years and above,Male,75.5,70.2,7.1
India,Goa,"PLFS Year (Jul - Jun), 2019",Urban,15 years and above,Female,30.1,26.6,11.6
India,Goa,"PLFS Year (Jul - Jun), 2019",Urban,15 years and above,Persons,53.1,48.7,8.4
India,Goa,"PLFS Year (Jul - Jun), 2019",Urban,All Ages,Male,58.8,54.6,7.1
India,Goa,"PLFS Year (Jul - Jun), 2019",Urban,All Ages,Female,24.1,21.3,11.6
India,Goa,"PLFS Year (Jul - Jun), 2019",Urban,All Ages,Persons,42,38.4,8.4
India,Goa,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15-29 years,Male,63.6,50.4,20.8
India,Goa,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15-29 years,Female,31.7,21.1,33.2
India,Goa,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15-29 years,Persons,47.2,35.4,25.1
India,Goa,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15-59 years,Male,82.8,77.1,6.9
India,Goa,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15-59 years,Female,31.8,27.8,12.5
India,Goa,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15-59 years,Persons,57.1,52.3,8.5
India,Goa,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15 years and above,Male,75.7,70.7,6.6
India,Goa,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15 years and above,Female,28.2,24.9,11.9
India,Goa,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15 years and above,Persons,51.5,47.3,8.1
India,Goa,"PLFS Year (Jul - Jun), 2019",Rural + Urban,All Ages,Male,59.6,55.7,6.6
India,Goa,"PLFS Year (Jul - Jun), 2019",Rural + Urban,All Ages,Female,22.6,19.9,11.9
India,Goa,"PLFS Year (Jul - Jun), 2019",Rural + Urban,All Ages,Persons,40.9,37.6,8.1
India,Gujarat,"PLFS Year (Jul - Jun), 2019",Rural,15-29 years,Male,62.9,59.2,5.9
India,Gujarat,"PLFS Year (Jul - Jun), 2019",Rural,15-29 years,Female,27.7,27.5,0.4
India,Gujarat,"PLFS Year (Jul - Jun), 2019",Rural,15-29 years,Persons,46.7,44.6,4.4
India,Gujarat,"PLFS Year (Jul - Jun), 2019",Rural,15-59 years,Male,82.9,81.1,2.2
India,Gujarat,"PLFS Year (Jul - Jun), 2019",Rural,15-59 years,Female,43.6,43.6,0.1
India,Gujarat,"PLFS Year (Jul - Jun), 2019",Rural,15-59 years,Persons,64.1,63.1,1.5
India,Gujarat,"PLFS Year (Jul - Jun), 2019",Rural,15 years and above,Male,79.6,78,2
India,Gujarat,"PLFS Year (Jul - Jun), 2019",Rural,15 years and above,Female,39.4,39.4,0.1
India,Gujarat,"PLFS Year (Jul - Jun), 2019",Rural,15 years and above,Persons,60,59.2,1.4
India,Gujarat,"PLFS Year (Jul - Jun), 2019",Rural,All Ages,Male,60.7,59.5,2
India,Gujarat,"PLFS Year (Jul - Jun), 2019",Rural,All Ages,Female,29.7,29.6,0.1
India,Gujarat,"PLFS Year (Jul - Jun), 2019",Rural,All Ages,Persons,45.5,44.9,1.4
India,Gujarat,"PLFS Year (Jul - Jun), 2019",Urban,15-29 years,Male,64.9,60.3,7
India,Gujarat,"PLFS Year (Jul - Jun), 2019",Urban,15-29 years,Female,19.6,17.7,9.7
India,Gujarat,"PLFS Year (Jul - Jun), 2019",Urban,15-29 years,Persons,43,39.7,7.6
India,Gujarat,"PLFS Year (Jul - Jun), 2019",Urban,15-59 years,Male,83.9,81.3,3.1
India,Gujarat,"PLFS Year (Jul - Jun), 2019",Urban,15-59 years,Female,22.6,21.8,3.6
India,Gujarat,"PLFS Year (Jul - Jun), 2019",Urban,15-59 years,Persons,54.2,52.4,3.2
India,Gujarat,"PLFS Year (Jul - Jun), 2019",Urban,15 years and above,Male,79.1,76.8,2.9
India,Gujarat,"PLFS Year (Jul - Jun), 2019",Urban,15 years and above,Female,20.4,19.7,3.4
India,Gujarat,"PLFS Year (Jul - Jun), 2019",Urban,15 years and above,Persons,50.5,49,3
India,Gujarat,"PLFS Year (Jul - Jun), 2019",Urban,All Ages,Male,61.7,59.9,2.9
India,Gujarat,"PLFS Year (Jul - Jun), 2019",Urban,All Ages,Female,16.8,16.2,3.4
India,Gujarat,"PLFS Year (Jul - Jun), 2019",Urban,All Ages,Persons,40.4,39.2,3
India,Gujarat,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15-29 years,Male,63.8,59.7,6.4
India,Gujarat,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15-29 years,Female,24,23.1,3.8
India,Gujarat,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15-29 years,Persons,45.1,42.5,5.8
India,Gujarat,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15-59 years,Male,83.3,81.2,2.6
India,Gujarat,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15-59 years,Female,34.2,33.8,1.1
India,Gujarat,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15-59 years,Persons,59.6,58.3,2.2
India,Gujarat,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15 years and above,Male,79.4,77.5,2.4
India,Gujarat,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15 years and above,Female,31.1,30.7,1.1
India,Gujarat,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15 years and above,Persons,55.9,54.7,2
India,Gujarat,"PLFS Year (Jul - Jun), 2019",Rural + Urban,All Ages,Male,61.1,59.7,2.4
India,Gujarat,"PLFS Year (Jul - Jun), 2019",Rural + Urban,All Ages,Female,24.3,24,1.1
India,Gujarat,"PLFS Year (Jul - Jun), 2019",Rural + Urban,All Ages,Persons,43.3,42.4,2
India,Haryana,"PLFS Year (Jul - Jun), 2019",Rural,15-29 years,Male,59.9,49,18.1
India,Haryana,"PLFS Year (Jul - Jun), 2019",Rural,15-29 years,Female,7.1,5.7,20.5
India,Haryana,"PLFS Year (Jul - Jun), 2019",Rural,15-29 years,Persons,34.3,28,18.4
India,Haryana,"PLFS Year (Jul - Jun), 2019",Rural,15-59 years,Male,79.7,74.2,6.9
India,Haryana,"PLFS Year (Jul - Jun), 2019",Rural,15-59 years,Female,15.1,14.4,5.2
India,Haryana,"PLFS Year (Jul - Jun), 2019",Rural,15-59 years,Persons,48.5,45.3,6.7
India,Haryana,"PLFS Year (Jul - Jun), 2019",Rural,15 years and above,Male,73.9,69.1,6.5
India,Haryana,"PLFS Year (Jul - Jun), 2019",Rural,15 years and above,Female,13.4,12.7,4.9
India,Haryana,"PLFS Year (Jul - Jun), 2019",Rural,15 years and above,Persons,44.2,41.4,6.3
India,Haryana,"PLFS Year (Jul - Jun), 2019",Rural,All Ages,Male,53.8,50.1,6.8
India,Haryana,"PLFS Year (Jul - Jun), 2019",Rural,All Ages,Female,10.1,9.6,4.9
India,Haryana,"PLFS Year (Jul - Jun), 2019",Rural,All Ages,Persons,32.8,30.7,6.5
India,Haryana,"PLFS Year (Jul - Jun), 2019",Urban,15-29 years,Male,59.8,51,14.6
India,Haryana,"PLFS Year (Jul - Jun), 2019",Urban,15-29 years,Female,17.6,13.4,24
India,Haryana,"PLFS Year (Jul - Jun), 2019",Urban,15-29 years,Persons,41.5,34.7,16.3
India,Haryana,"PLFS Year (Jul - Jun), 2019",Urban,15-59 years,Male,80.2,75.2,6.2
India,Haryana,"PLFS Year (Jul - Jun), 2019",Urban,15-59 years,Female,23.3,21.3,8.5
India,Haryana,"PLFS Year (Jul - Jun), 2019",Urban,15-59 years,Persons,54.4,50.7,6.7
India,Haryana,"PLFS Year (Jul - Jun), 2019",Urban,15 years and above,Male,73.3,68.9,6
India,Haryana,"PLFS Year (Jul - Jun), 2019",Urban,15 years and above,Female,20.2,18.5,8.4
India,Haryana,"PLFS Year (Jul - Jun), 2019",Urban,15 years and above,Persons,48.7,45.5,6.5
India,Haryana,"PLFS Year (Jul - Jun), 2019",Urban,All Ages,Male,55.8,52.5,6
India,Haryana,"PLFS Year (Jul - Jun), 2019",Urban,All Ages,Female,15.4,14.1,8.4
India,Haryana,"PLFS Year (Jul - Jun), 2019",Urban,All Ages,Persons,37.2,34.8,6.5
India,Haryana,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15-29 years,Male,59.8,49.8,16.8
India,Haryana,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15-29 years,Female,10.5,8.1,22.4
India,Haryana,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15-29 years,Persons,36.8,30.3,17.6
India,Haryana,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15-59 years,Male,79.9,74.6,6.6
India,Haryana,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15-59 years,Female,18,16.8,6.7
India,Haryana,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15-59 years,Persons,50.6,47.3,6.7
India,Haryana,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15 years and above,Male,73.7,69,6.3
India,Haryana,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15 years and above,Female,15.7,14.7,6.5
India,Haryana,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15 years and above,Persons,45.8,42.9,6.4
India,Haryana,"PLFS Year (Jul - Jun), 2019",Rural + Urban,All Ages,Male,54.5,51,6.5
India,Haryana,"PLFS Year (Jul - Jun), 2019",Rural + Urban,All Ages,Female,11.9,11.2,6.5
India,Haryana,"PLFS Year (Jul - Jun), 2019",Rural + Urban,All Ages,Persons,34.3,32.1,6.5
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2019",Rural,15-29 years,Male,67.9,57.3,15.5
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2019",Rural,15-29 years,Female,54.1,49.4,8.8
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2019",Rural,15-29 years,Persons,61.1,53.5,12.6
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2019",Rural,15-59 years,Male,85.6,81.2,5.2
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2019",Rural,15-59 years,Female,74.3,72.4,2.6
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2019",Rural,15-59 years,Persons,79.8,76.7,3.9
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2019",Rural,15 years and above,Male,82.4,78.7,4.5
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2019",Rural,15 years and above,Female,68.2,66.7,2.3
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2019",Rural,15 years and above,Persons,75,72.4,3.4
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2019",Rural,All Ages,Male,64.5,61.6,4.4
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2019",Rural,All Ages,Female,54.7,53.5,2.3
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2019",Rural,All Ages,Persons,59.4,57.4,3.4
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2019",Urban,15-29 years,Male,64.8,57,12
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2019",Urban,15-29 years,Female,31.5,23.4,25.8
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2019",Urban,15-29 years,Persons,50,42.1,15.9
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2019",Urban,15-59 years,Male,82.5,78.8,4.4
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2019",Urban,15-59 years,Female,43.2,38.8,10.2
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2019",Urban,15-59 years,Persons,63.7,59.6,6.3
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2019",Urban,15 years and above,Male,79.5,76.2,4.1
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2019",Urban,15 years and above,Female,40.6,36.7,9.7
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2019",Urban,15 years and above,Persons,60.8,57.2,5.9
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2019",Urban,All Ages,Male,60.6,58.1,4.1
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2019",Urban,All Ages,Female,30.9,27.9,9.7
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2019",Urban,All Ages,Persons,46.3,43.5,5.9
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15-29 years,Male,67.3,57.3,15
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15-29 years,Female,50.9,45.7,10.3
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15-29 years,Persons,59.4,51.7,13
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15-59 years,Male,85.2,80.9,5.1
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15-59 years,Female,70.3,68.1,3.2
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15-59 years,Persons,77.6,74.4,4.2
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15 years and above,Male,82,78.4,4.4
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15 years and above,Female,65,63.1,2.8
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15 years and above,Persons,73.2,70.5,3.7
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2019",Rural + Urban,All Ages,Male,63.9,61.1,4.4
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2019",Rural + Urban,All Ages,Female,51.8,50.3,2.8
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2019",Rural + Urban,All Ages,Persons,57.7,55.6,3.7
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2019",Rural,15-29 years,Male,51.7,45.8,11.5
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2019",Rural,15-29 years,Female,31.1,23.9,23.1
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2019",Rural,15-29 years,Persons,42.2,35.7,15.5
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2019",Rural,15-59 years,Male,76.8,73.8,3.9
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2019",Rural,15-59 years,Female,43.4,39.6,8.8
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2019",Rural,15-59 years,Persons,60.4,57,5.6
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2019",Rural,15 years and above,Male,74.3,71.7,3.5
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2019",Rural,15 years and above,Female,40.2,36.8,8.4
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2019",Rural,15 years and above,Persons,57.7,54.7,5.2
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2019",Rural,All Ages,Male,53.6,51.7,3.5
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2019",Rural,All Ages,Female,30.3,27.7,8.4
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2019",Rural,All Ages,Persons,42.5,40.3,5.2
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2019",Urban,15-29 years,Male,55.5,44,20.6
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2019",Urban,15-29 years,Female,31,15.9,48.7
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2019",Urban,15-29 years,Persons,43.9,30.7,30
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2019",Urban,15-59 years,Male,80.3,74,7.8
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2019",Urban,15-59 years,Female,30.7,21.2,30.9
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2019",Urban,15-59 years,Persons,55.6,47.8,14.1
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2019",Urban,15 years and above,Male,74.2,68.9,7.1
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2019",Urban,15 years and above,Female,27,18.9,29.9
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2019",Urban,15 years and above,Persons,50.9,44.2,13
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2019",Urban,All Ages,Male,57,52.9,7.2
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2019",Urban,All Ages,Female,21.6,15.1,29.9
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2019",Urban,All Ages,Persons,39.9,34.6,13.2
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15-29 years,Male,52.4,45.5,13.3
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15-29 years,Female,31.1,22.4,27.9
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15-29 years,Persons,42.5,34.7,18.3
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15-59 years,Male,77.5,73.8,4.7
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15-59 years,Female,40.8,35.9,12.2
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15-59 years,Persons,59.4,55.1,7.2
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15 years and above,Male,74.3,71.2,4.2
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15 years and above,Female,37.4,33.1,11.6
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15 years and above,Persons,56.3,52.5,6.7
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2019",Rural + Urban,All Ages,Male,54.3,52,4.3
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2019",Rural + Urban,All Ages,Female,28.5,25.2,11.6
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2019",Rural + Urban,All Ages,Persons,42,39.2,6.7
India,Jharkhand,"PLFS Year (Jul - Jun), 2019",Rural,15-29 years,Male,62.5,54.6,12.6
India,Jharkhand,"PLFS Year (Jul - Jun), 2019",Rural,15-29 years,Female,28.5,28.1,1.4
India,Jharkhand,"PLFS Year (Jul - Jun), 2019",Rural,15-29 years,Persons,44.4,40.5,8.8
India,Jharkhand,"PLFS Year (Jul - Jun), 2019",Rural,15-59 years,Male,83.1,78.9,5
India,Jharkhand,"PLFS Year (Jul - Jun), 2019",Rural,15-59 years,Female,44.8,44.7,0.4
India,Jharkhand,"PLFS Year (Jul - Jun), 2019",Rural,15-59 years,Persons,63.3,61.2,3.3
India,Jharkhand,"PLFS Year (Jul - Jun), 2019",Rural,15 years and above,Male,78.6,75,4.5
India,Jharkhand,"PLFS Year (Jul - Jun), 2019",Rural,15 years and above,Female,41.2,41.1,0.4
India,Jharkhand,"PLFS Year (Jul - Jun), 2019",Rural,15 years and above,Persons,59.3,57.5,3.1
India,Jharkhand,"PLFS Year (Jul - Jun), 2019",Rural,All Ages,Male,51.8,49.5,4.5
India,Jharkhand,"PLFS Year (Jul - Jun), 2019",Rural,All Ages,Female,29.3,29.2,0.4
India,Jharkhand,"PLFS Year (Jul - Jun), 2019",Rural,All Ages,Persons,40.6,39.4,3
India,Jharkhand,"PLFS Year (Jul - Jun), 2019",Urban,15-29 years,Male,55.7,43.8,21.4
India,Jharkhand,"PLFS Year (Jul - Jun), 2019",Urban,15-29 years,Female,14.7,11,24.8
India,Jharkhand,"PLFS Year (Jul - Jun), 2019",Urban,15-29 years,Persons,36.8,28.7,22
India,Jharkhand,"PLFS Year (Jul - Jun), 2019",Urban,15-59 years,Male,76.3,68.5,10.2
India,Jharkhand,"PLFS Year (Jul - Jun), 2019",Urban,15-59 years,Female,17.4,15.7,9.9
India,Jharkhand,"PLFS Year (Jul - Jun), 2019",Urban,15-59 years,Persons,47.9,43,10.2
India,Jharkhand,"PLFS Year (Jul - Jun), 2019",Urban,15 years and above,Male,71.5,64.6,9.6
India,Jharkhand,"PLFS Year (Jul - Jun), 2019",Urban,15 years and above,Female,15.5,14,9.8
India,Jharkhand,"PLFS Year (Jul - Jun), 2019",Urban,15 years and above,Persons,44.4,40.1,9.7
India,Jharkhand,"PLFS Year (Jul - Jun), 2019",Urban,All Ages,Male,53.8,48.6,9.6
India,Jharkhand,"PLFS Year (Jul - Jun), 2019",Urban,All Ages,Female,12.5,11.3,9.5
India,Jharkhand,"PLFS Year (Jul - Jun), 2019",Urban,All Ages,Persons,34.1,30.9,9.6
India,Jharkhand,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15-29 years,Male,60.6,51.7,14.8
India,Jharkhand,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15-29 years,Female,25.4,24.3,4.4
India,Jharkhand,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15-29 years,Persons,42.5,37.6,11.6
India,Jharkhand,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15-59 years,Male,81.4,76.4,6.2
India,Jharkhand,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15-59 years,Female,38.9,38.3,1.3
India,Jharkhand,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15-59 years,Persons,59.8,57,4.6
India,Jharkhand,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15 years and above,Male,76.9,72.5,5.7
India,Jharkhand,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15 years and above,Female,35.7,35.2,1.3
India,Jharkhand,"PLFS Year (Jul - Jun), 2019",Rural + Urban,15 years and above,Persons,55.9,53.6,4.2
India,Jharkhand,"PLFS Year (Jul - Jun), 2019",Rural + Urban,All Ages,Male,52.3,49.3,5.6
India,Jharkhand,"PLFS Year (Jul - Jun), 2019",Rural + Urban,All Ages,Female,25.9,25.6,1.3
India,Jharkhand,"PLFS Year (Jul - Jun), 2019",Rural + Urban,All Ages,Persons,39.3,37.6,4.2
India,Karnataka,"PLFS Year (Jul - Jun), 2019",Rural,15-29 years,Male,68.6,62.1,9.5
India,Karnataka,"PLFS Year (Jul - Jun), 2019",Rural,15-29 years,Female,29.1,26.4,9.1
India,Karnataka,"PLFS Year (Jul - Jun), 2019",Rural,15-29 years,Persons,49.4,44.8,9.4
India,Karnataka,"PLFS Year (Jul - Jun), 2019",Rural,15-59 years,Male,85.8,82.9,3.3
India,Karnataka,"PLFS Year (Jul - Jun), 2019",Rural,15-59 years,Female,45.6,44.5,2.3
India,Karnataka,"PLFS Year (Jul - Jun), 2019",Rural,15-59 years,Persons,65.8,63.8,3
India,Karnataka,"PLFS Year (Jul - Jun), 2019",Rural,15 years and above,Male,80.2,77.8,3
India,Karnataka,"PLFS Year (Jul - Jun), 2019",Rural,15 years and above,Female,39.9,39,2.2
India,Karnataka,"PLFS Year (Jul - Jun), 2019",Rural,15 years and above,Persons,59.9,58.2,2.7
India,Karnataka,"PLFS Year (Jul - Jun), 2019",Rural,All Ages,Male,61.8,59.9,3
India,Karnataka,"PLFS Year (Jul - Jun), 2019",Rural,All Ages,Female,31.1,30.4,2.2
India,Karnataka,"PLFS Year (Jul - Jun), 2019",Rural,All Ages,Persons,46.4,45.2,2.7
India,Karnataka,"PLFS Year (Jul - Jun), 2019",Urban,15-29 years,Male,55.8,48.7,12.8
India,Karnataka,"PLFS Year (Jul - Jun), 2019",Urban,15-29 years,Female,27.6,16.3,41.1
India,Karnataka,"PLFS Year (Jul - Jun), 2019",Urban,15-29 years,Persons,41.7,32.5,22.1
India,Karnataka,"PLFS Year (Jul - Jun), 2019",Urban,15-59 years,Male,81.2,77.9,4.1
India,Karnataka,"PLFS Year (Jul - Jun), 2019",Urban,15-59 years,Female,27.5,23.1,16
