Country,Year,Gender,Type Of Residence,Type Of Technical Training,"Estimated Persons (UOM:Number), Scaling Factor:1","Percentage Distribution (UOM:%(Percentage)), Scaling Factor:1","Sample Persons (UOM:Number), Scaling Factor:1"
India,"PLFS Year (Jul - Jun), 2023",Male,Rural+Urban,Vocational/Technical Training Received_Formal & Other than Formal,,33.0,18444
India,"PLFS Year (Jul - Jun), 2023",Persons,Rural+Urban,Vocational/Technical Training Received_Formal & Other than Formal,,26.1,28838
India,"PLFS Year (Jul - Jun), 2023",Female,Rural,Vocational/Technical Training Received_Formal & Other than Formal,,19.4,6490
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,Vocational/Technical Training Received_Formal & Other than Formal,,34.1,11117
India,"PLFS Year (Jul - Jun), 2023",Female,Urban,Vocational/Technical Training Received_Formal & Other than Formal,,17.6,3904
India,"PLFS Year (Jul - Jun), 2023",Male,Urban,Did not Receive Vocational/ Technical Training,,69.5,16737
India,"PLFS Year (Jul - Jun), 2023",Persons,Rural+Urban,Did not Receive Vocational/ Technical Training,,73.9,80210
India,"PLFS Year (Jul - Jun), 2023",Persons,Rural,Did not Receive Vocational/ Technical Training,,73.2,45183
India,"PLFS Year (Jul - Jun), 2023",Persons,Urban,Did not Receive Vocational/ Technical Training,,75.7,35027
India,"PLFS Year (Jul - Jun), 2023",Male,Rural+Urban,Did not Receive Vocational/ Technical Training,,67.0,37775
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,Did not Receive Vocational/ Technical Training,,65.9,21038
India,"PLFS Year (Jul - Jun), 2023",Female,Urban,Did not Receive Vocational/ Technical Training,,82.4,18290
India,"PLFS Year (Jul - Jun), 2023",Female,Rural+Urban,Did not Receive Vocational/ Technical Training,,81.1,42435
India,"PLFS Year (Jul - Jun), 2023",Female,Rural,Did not Receive Vocational/ Technical Training,,80.6,24145
India,"PLFS Year (Jul - Jun), 2022",Female,Urban,Vocational/Technical Training Received_Formal,,7.3,1577
India,"PLFS Year (Jul - Jun), 2022",Female,Rural,Vocational/Technical Training Received_Formal,,3.1,1067
India,"PLFS Year (Jul - Jun), 2022",Persons,Rural,Vocational/Technical Training Received_Formal,,3.4,2383
India,"PLFS Year (Jul - Jun), 2022",Male,Rural+Urban,Vocational/Technical Training Received_Formal,,4.6,2927
India,"PLFS Year (Jul - Jun), 2022",Persons,Urban,Vocational/Technical Training Received_Formal,,7.2,3188
India,"PLFS Year (Jul - Jun), 2022",Persons,Rural+Urban,Vocational/Technical Training Received_Formal,,4.4,5571
India,"PLFS Year (Jul - Jun), 2022",Male,Rural,Vocational/Technical Training Received_Formal,,3.7,1316
India,"PLFS Year (Jul - Jun), 2022",Female,Rural+Urban,Vocational/Technical Training Received_Formal,,4.2,2644
India,"PLFS Year (Jul - Jun), 2022",Male,Urban,Vocational/Technical Training Received_Formal,,7.0,1611
India,"PLFS Year (Jul - Jun), 2022",Male,Rural,Vocational/Technical Training Received_Other than Formal_Hereditary,,8.2,2379
India,"PLFS Year (Jul - Jun), 2022",Persons,Rural,Vocational/Technical Training Received_Other than Formal_Hereditary,,6.5,3907
India,"PLFS Year (Jul - Jun), 2022",Persons,Urban,Vocational/Technical Training Received_Other than Formal_Hereditary,,1.2,596
India,"PLFS Year (Jul - Jun), 2022",Female,Urban,Vocational/Technical Training Received_Other than Formal_Hereditary,,0.7,194
India,"PLFS Year (Jul - Jun), 2022",Male,Urban,Vocational/Technical Training Received_Other than Formal_Hereditary,,1.7,402
India,"PLFS Year (Jul - Jun), 2022",Persons,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Hereditary,,5.1,4503
India,"PLFS Year (Jul - Jun), 2022",Male,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Hereditary,,6.4,2781
India,"PLFS Year (Jul - Jun), 2022",Female,Rural,Vocational/Technical Training Received_Other than Formal_Hereditary,,4.8,1528
India,"PLFS Year (Jul - Jun), 2022",Female,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Hereditary,,3.7,1722
India,"PLFS Year (Jul - Jun), 2022",Female,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Self-Learning,,3.1,1904
India,"PLFS Year (Jul - Jun), 2022",Persons,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Self-Learning,,4.1,5027
India,"PLFS Year (Jul - Jun), 2022",Persons,Rural,Vocational/Technical Training Received_Other than Formal_Self-Learning,,4.2,3118
India,"PLFS Year (Jul - Jun), 2022",Female,Rural,Vocational/Technical Training Received_Other than Formal_Self-Learning,,3.3,1279
India,"PLFS Year (Jul - Jun), 2022",Male,Urban,Vocational/Technical Training Received_Other than Formal_Self-Learning,,5.0,1284
India,"PLFS Year (Jul - Jun), 2022",Male,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Self-Learning,,5.0,3123
