Country,Year,Gender,Type Of Residence,Type Of Technical Training,"Estimated Persons (UOM:Number), Scaling Factor:1","Percentage Distribution (UOM:%(Percentage)), Scaling Factor:1","Sample Persons (UOM:Number), Scaling Factor:1"
India,"PLFS Year (Jul - Jun), 2018",Persons,Urban,Did not Receive Vocational/ Technical Training,809517.0,88.0,45951
India,"PLFS Year (Jul - Jun), 2018",Persons,Rural,Did not Receive Vocational/ Technical Training,1856754.0,92.1,61985
India,"PLFS Year (Jul - Jun), 2018",Male,Urban,Did not Receive Vocational/ Technical Training,407689.0,85.0,23104
India,"PLFS Year (Jul - Jun), 2018",Male,Rural+Urban,Did not Receive Vocational/ Technical Training,1326388.0,88.0,54651
India,"PLFS Year (Jul - Jun), 2018",Male,Rural,Did not Receive Vocational/ Technical Training,918699.0,89.3,31547
India,"PLFS Year (Jul - Jun), 2018",Female,Urban,Did not Receive Vocational/ Technical Training,401827.0,91.2,22847
India,"PLFS Year (Jul - Jun), 2018",Female,Rural+Urban,Did not Receive Vocational/ Technical Training,1339883.0,93.8,53285
India,"PLFS Year (Jul - Jun), 2018",Female,Rural,Did not Receive Vocational/ Technical Training,938056.0,95.0,30438
India,"PLFS Year (Jul - Jun), 2017",Male,Urban,Vocational/Technical Training Received_Formal,21022.0,4.6,1219
India,"PLFS Year (Jul - Jun), 2017",Persons,Rural,Vocational/Technical Training Received_Formal,34790.0,1.7,1378
India,"PLFS Year (Jul - Jun), 2017",Female,Rural+Urban,Vocational/Technical Training Received_Formal,31351.0,2.2,1616
India,"PLFS Year (Jul - Jun), 2017",Persons,Urban,Vocational/Technical Training Received_Formal,38923.0,4.4,2251
India,"PLFS Year (Jul - Jun), 2017",Female,Urban,Vocational/Technical Training Received_Formal,17901.0,4.2,1032
India,"PLFS Year (Jul - Jun), 2017",Male,Rural,Vocational/Technical Training Received_Formal,21339.0,2.0,794
India,"PLFS Year (Jul - Jun), 2017",Persons,Rural+Urban,Vocational/Technical Training Received_Formal,73713.0,,3629
India,"PLFS Year (Jul - Jun), 2017",Male,Rural+Urban,Vocational/Technical Training Received_Formal,42361.0,2.8,2013
India,"PLFS Year (Jul - Jun), 2017",Female,Rural,Vocational/Technical Training Received_Formal,13450.0,1.3,584
India,"PLFS Year (Jul - Jun), 2017",Male,Urban,Vocational/Technical Training Received_Other than Formal_Hereditary,3288.0,0.7,190
India,"PLFS Year (Jul - Jun), 2017",Female,Rural,Vocational/Technical Training Received_Other than Formal_Hereditary,6023.0,0.6,238
India,"PLFS Year (Jul - Jun), 2017",Male,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Hereditary,22330.0,1.5,817
India,"PLFS Year (Jul - Jun), 2017",Female,Urban,Vocational/Technical Training Received_Other than Formal_Hereditary,1432.0,0.3,102
India,"PLFS Year (Jul - Jun), 2017",Persons,Urban,Vocational/Technical Training Received_Other than Formal_Hereditary,4721.0,0.5,292
India,"PLFS Year (Jul - Jun), 2017",Persons,Rural,Vocational/Technical Training Received_Other than Formal_Hereditary,25065.0,1.2,865
India,"PLFS Year (Jul - Jun), 2017",Female,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Hereditary,7455.0,0.5,340
India,"PLFS Year (Jul - Jun), 2017",Persons,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Hereditary,29785.0,,1157
India,"PLFS Year (Jul - Jun), 2017",Male,Rural,Vocational/Technical Training Received_Other than Formal_Hereditary,19042.0,1.8,627
India,"PLFS Year (Jul - Jun), 2017",Male,Rural,Vocational/Technical Training Received_Other than Formal_Self-Learning,21355.0,2.0,657
India,"PLFS Year (Jul - Jun), 2017",Female,Rural,Vocational/Technical Training Received_Other than Formal_Self-Learning,9880.0,1.0,334
India,"PLFS Year (Jul - Jun), 2017",Persons,Urban,Vocational/Technical Training Received_Other than Formal_Self-Learning,9154.0,1.0,641
India,"PLFS Year (Jul - Jun), 2017",Persons,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Self-Learning,40390.0,,1632
India,"PLFS Year (Jul - Jun), 2017",Persons,Rural,Vocational/Technical Training Received_Other than Formal_Self-Learning,31236.0,1.5,991
India,"PLFS Year (Jul - Jun), 2017",Male,Urban,Vocational/Technical Training Received_Other than Formal_Self-Learning,6320.0,1.4,454
India,"PLFS Year (Jul - Jun), 2017",Male,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Self-Learning,27675.0,1.8,1111
India,"PLFS Year (Jul - Jun), 2017",Female,Urban,Vocational/Technical Training Received_Other than Formal_Self-Learning,2834.0,0.7,187
India,"PLFS Year (Jul - Jun), 2017",Female,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Self-Learning,12715.0,0.9,521
India,"PLFS Year (Jul - Jun), 2017",Female,Rural,Vocational/Technical Training Received_Other than Formal_Learning on the Job,5784.0,0.6,187
India,"PLFS Year (Jul - Jun), 2017",Persons,Rural,Vocational/Technical Training Received_Other than Formal_Learning on the Job,31552.0,1.5,1042
India,"PLFS Year (Jul - Jun), 2017",Persons,Urban,Vocational/Technical Training Received_Other than Formal_Learning on the Job,20398.0,2.3,974
India,"PLFS Year (Jul - Jun), 2017",Female,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Learning on the Job,9604.0,0.7,333
India,"PLFS Year (Jul - Jun), 2017",Persons,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Learning on the Job,51950.0,,2016
India,"PLFS Year (Jul - Jun), 2017",Male,Urban,Vocational/Technical Training Received_Other than Formal_Learning on the Job,16579.0,3.7,828
India,"PLFS Year (Jul - Jun), 2017",Female,Urban,Vocational/Technical Training Received_Other than Formal_Learning on the Job,3820.0,0.9,146
India,"PLFS Year (Jul - Jun), 2017",Male,Rural,Vocational/Technical Training Received_Other than Formal_Learning on the Job,25767.0,2.4,855
India,"PLFS Year (Jul - Jun), 2017",Male,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Learning on the Job,42346.0,2.8,1683
India,"PLFS Year (Jul - Jun), 2017",Male,Urban,Vocational/Technical Training Received_Other than Formal_Others,2808.0,0.6,129
India,"PLFS Year (Jul - Jun), 2017",Persons,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Others,12325.0,,525
India,"PLFS Year (Jul - Jun), 2017",Female,Urban,Vocational/Technical Training Received_Other than Formal_Others,1804.0,0.4,123
India,"PLFS Year (Jul - Jun), 2017",Male,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Others,5990.0,0.4,249
India,"PLFS Year (Jul - Jun), 2017",Persons,Rural,Vocational/Technical Training Received_Other than Formal_Others,7712.0,0.4,273
India,"PLFS Year (Jul - Jun), 2017",Female,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Others,6335.0,0.4,276
India,"PLFS Year (Jul - Jun), 2017",Female,Rural,Vocational/Technical Training Received_Other than Formal_Others,4531.0,0.5,153
India,"PLFS Year (Jul - Jun), 2017",Male,Rural,Vocational/Technical Training Received_Other than Formal_Others,3181.0,0.3,120
India,"PLFS Year (Jul - Jun), 2017",Persons,Urban,Vocational/Technical Training Received_Other than Formal_Others,4612.0,0.5,252
India,"PLFS Year (Jul - Jun), 2017",Female,Rural+Urban,Vocational/Technical Training Received_Other than Formal_All,36109.0,2.5,1470
India,"PLFS Year (Jul - Jun), 2017",Male,Urban,Vocational/Technical Training Received_Other than Formal_All,28995.0,6.4,1601
India,"PLFS Year (Jul - Jun), 2017",Female,Rural,Vocational/Technical Training Received_Other than Formal_All,26219.0,2.6,912
India,"PLFS Year (Jul - Jun), 2017",Male,Rural+Urban,Vocational/Technical Training Received_Other than Formal_All,98341.0,6.5,3860
India,"PLFS Year (Jul - Jun), 2017",Persons,Rural+Urban,Vocational/Technical Training Received_Other than Formal_All,134449.0,,5330
India,"PLFS Year (Jul - Jun), 2017",Male,Rural,Vocational/Technical Training Received_Other than Formal_All,69346.0,6.5,2259
India,"PLFS Year (Jul - Jun), 2017",Female,Urban,Vocational/Technical Training Received_Other than Formal_All,9890.0,2.3,558
India,"PLFS Year (Jul - Jun), 2017",Persons,Rural,Vocational/Technical Training Received_Other than Formal_All,95564.0,4.6,3171
India,"PLFS Year (Jul - Jun), 2017",Persons,Urban,Vocational/Technical Training Received_Other than Formal_All,38885.0,4.4,2159
India,"PLFS Year (Jul - Jun), 2017",Female,Urban,Vocational/Technical Training Received_Formal & Other than Formal,27791.0,6.5,1590
India,"PLFS Year (Jul - Jun), 2017",Persons,Rural+Urban,Vocational/Technical Training Received_Formal & Other than Formal,208162.0,,8959
India,"PLFS Year (Jul - Jun), 2017",Persons,Urban,Vocational/Technical Training Received_Formal & Other than Formal,77808.0,8.8,4410
India,"PLFS Year (Jul - Jun), 2017",Female,Rural+Urban,Vocational/Technical Training Received_Formal & Other than Formal,67460.0,4.7,3086
India,"PLFS Year (Jul - Jun), 2017",Male,Urban,Vocational/Technical Training Received_Formal & Other than Formal,50017.0,11.1,2820
India,"PLFS Year (Jul - Jun), 2017",Male,Rural+Urban,Vocational/Technical Training Received_Formal & Other than Formal,140702.0,9.3,5873
India,"PLFS Year (Jul - Jun), 2017",Female,Rural,Vocational/Technical Training Received_Formal & Other than Formal,39669.0,4.0,1496
India,"PLFS Year (Jul - Jun), 2017",Persons,Rural,Vocational/Technical Training Received_Formal & Other than Formal,130354.0,6.3,4549
India,"PLFS Year (Jul - Jun), 2017",Male,Rural,Vocational/Technical Training Received_Formal & Other than Formal,90685.0,8.5,3053
India,"PLFS Year (Jul - Jun), 2017",Female,Rural,Did not Receive Vocational/ Technical Training,958178.0,96.0,32285
India,"PLFS Year (Jul - Jun), 2017",Persons,Urban,Did not Receive Vocational/ Technical Training,804397.0,91.2,49082
India,"PLFS Year (Jul - Jun), 2017",Female,Urban,Did not Receive Vocational/ Technical Training,401936.0,93.5,24269
India,"PLFS Year (Jul - Jun), 2017",Persons,Rural,Did not Receive Vocational/ Technical Training,1935622.0,93.7,67068
India,"PLFS Year (Jul - Jun), 2017",Male,Rural+Urban,Did not Receive Vocational/ Technical Training,1379905.0,90.7,59596
India,"PLFS Year (Jul - Jun), 2017",Persons,Rural+Urban,Did not Receive Vocational/ Technical Training,2740019.0,,116150
India,"PLFS Year (Jul - Jun), 2017",Male,Rural,Did not Receive Vocational/ Technical Training,977443.0,91.5,34783
India,"PLFS Year (Jul - Jun), 2017",Male,Urban,Did not Receive Vocational/ Technical Training,402461.0,88.9,24813
India,"PLFS Year (Jul - Jun), 2017",Female,Rural+Urban,Did not Receive Vocational/ Technical Training,1360114.0,95.3,56554
