Country,State,Year,Age Group,Type Of Area,Gender,"Unemployment Rate (Ur) (UOM:%(Percentage)), Scaling Factor:1"
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",15-29,Rural+Urban,Male,21.9
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",15-29,Rural+Urban,Female,19.6
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",15-29,Rural+Urban,Person,20.9
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",15-59,Rural,Male,5.8
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",15-59,Rural,Female,4.8
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",15-59,Rural,Person,5.4
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",15-59,Urban,Male,9.7
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",15-59,Urban,Female,18.4
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",15-59,Urban,Person,13.1
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",15-59,Rural+Urban,Male,6.4
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",15-59,Rural+Urban,Female,6.5
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",15-59,Rural+Urban,Person,6.5
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",15 years and above,Rural,Male,5.4
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",15 years and above,Rural,Female,4.6
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",15 years and above,Rural,Person,5.1
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",15 years and above,Urban,Male,9.4
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",15 years and above,Urban,Female,18.1
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",15 years and above,Urban,Person,12.8
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",15 years and above,Rural+Urban,Male,6.1
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",15 years and above,Rural+Urban,Female,6.2
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",15 years and above,Rural+Urban,Person,6.1
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",all ages,Rural,Male,5.4
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",all ages,Rural,Female,4.6
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",all ages,Rural,Person,5.0
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",all ages,Urban,Male,9.4
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",all ages,Urban,Female,18.1
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",all ages,Urban,Person,12.8
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",all ages,Rural+Urban,Male,6.0
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",all ages,Rural+Urban,Female,6.2
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",all ages,Rural+Urban,Person,6.1
India,Assam,"PLFS Year (Jul - Jun), 2023",15-29,Rural,Male,12.9
