Country,State,Year,Type Of Areas,Gender,"Rate Of Unemployment  (UOM:Ratio), Scaling Factor:1"
India,Madhya Pradesh,"PLFS Year (Jul - Jun), 2022",rural,Female,23.35
India,Madhya Pradesh,"PLFS Year (Jul - Jun), 2022",rural,Person,11.97
India,Madhya Pradesh,"PLFS Year (Jul - Jun), 2022",urban,Male,9.29
India,Madhya Pradesh,"PLFS Year (Jul - Jun), 2022",urban,Female,20.94
India,Madhya Pradesh,"PLFS Year (Jul - Jun), 2022",urban,Person,10.05
India,Madhya Pradesh,"PLFS Year (Jul - Jun), 2022",rural + urban,Male,7.82
India,Madhya Pradesh,"PLFS Year (Jul - Jun), 2022",rural + urban,Female,17.99
India,Madhya Pradesh,"PLFS Year (Jul - Jun), 2022",rural + urban,Person,8.43
India,Maharashtra,"PLFS Year (Jul - Jun), 2022",rural,Male,9.8
India,Maharashtra,"PLFS Year (Jul - Jun), 2022",rural,Female,14.25
India,Maharashtra,"PLFS Year (Jul - Jun), 2022",rural,Person,8.64
India,Maharashtra,"PLFS Year (Jul - Jun), 2022",urban,Male,8.19
India,Maharashtra,"PLFS Year (Jul - Jun), 2022",urban,Female,12.23
India,Maharashtra,"PLFS Year (Jul - Jun), 2022",urban,Person,7.62
India,Maharashtra,"PLFS Year (Jul - Jun), 2022",rural + urban,Male,6.58
India,Maharashtra,"PLFS Year (Jul - Jun), 2022",rural + urban,Female,9.21
India,Maharashtra,"PLFS Year (Jul - Jun), 2022",rural + urban,Person,5.78
India,Manipur,"PLFS Year (Jul - Jun), 2022",rural,Male,23.94
India,Manipur,"PLFS Year (Jul - Jun), 2022",rural,Female,31.51
India,Manipur,"PLFS Year (Jul - Jun), 2022",rural,Person,22.88
India,Manipur,"PLFS Year (Jul - Jun), 2022",urban,Male,5.83
India,Manipur,"PLFS Year (Jul - Jun), 2022",urban,Female,27.4
India,Manipur,"PLFS Year (Jul - Jun), 2022",urban,Person,9.32
India,Manipur,"PLFS Year (Jul - Jun), 2022",rural + urban,Male,15.67
India,Manipur,"PLFS Year (Jul - Jun), 2022",rural + urban,Female,24.68
India,Manipur,"PLFS Year (Jul - Jun), 2022",rural + urban,Person,15.86
India,Meghalaya,"PLFS Year (Jul - Jun), 2022",rural,Male,19.21
India,Meghalaya,"PLFS Year (Jul - Jun), 2022",rural,Female,22.48
India,Meghalaya,"PLFS Year (Jul - Jun), 2022",rural,Person,16.71
India,Meghalaya,"PLFS Year (Jul - Jun), 2022",urban,Male,33.97
India,Meghalaya,"PLFS Year (Jul - Jun), 2022",urban,Female,26.74
India,Meghalaya,"PLFS Year (Jul - Jun), 2022",urban,Person,26.49
India,Meghalaya,"PLFS Year (Jul - Jun), 2022",rural + urban,Male,16.79
India,Meghalaya,"PLFS Year (Jul - Jun), 2022",rural + urban,Female,17.22
India,Meghalaya,"PLFS Year (Jul - Jun), 2022",rural + urban,Person,13.91
India,Mizoram,"PLFS Year (Jul - Jun), 2022",rural,Male,31.96
India,Mizoram,"PLFS Year (Jul - Jun), 2022",rural,Female,58.7
India,Mizoram,"PLFS Year (Jul - Jun), 2022",rural,Person,32.63
India,Mizoram,"PLFS Year (Jul - Jun), 2022",urban,Male,9.35
India,Mizoram,"PLFS Year (Jul - Jun), 2022",urban,Female,33.07
India,Mizoram,"PLFS Year (Jul - Jun), 2022",urban,Person,15.89
India,Mizoram,"PLFS Year (Jul - Jun), 2022",rural + urban,Male,12.05
India,Mizoram,"PLFS Year (Jul - Jun), 2022",rural + urban,Female,27.67
India,Mizoram,"PLFS Year (Jul - Jun), 2022",rural + urban,Person,14.21
India,Nagaland,"PLFS Year (Jul - Jun), 2022",rural,Male,27.61
India,Nagaland,"PLFS Year (Jul - Jun), 2022",rural,Female,37.28
India,Nagaland,"PLFS Year (Jul - Jun), 2022",rural,Person,27.24
India,Nagaland,"PLFS Year (Jul - Jun), 2022",urban,Male,45.86
India,Nagaland,"PLFS Year (Jul - Jun), 2022",urban,Female,12.51
India,Nagaland,"PLFS Year (Jul - Jun), 2022",urban,Person,32.62
India,Nagaland,"PLFS Year (Jul - Jun), 2022",rural + urban,Male,25.32
India,Nagaland,"PLFS Year (Jul - Jun), 2022",rural + urban,Female,19.5
India,Nagaland,"PLFS Year (Jul - Jun), 2022",rural + urban,Person,21.04
India,Odisha,"PLFS Year (Jul - Jun), 2022",rural,Male,11.16
India,Odisha,"PLFS Year (Jul - Jun), 2022",rural,Female,19.23
India,Odisha,"PLFS Year (Jul - Jun), 2022",rural,Person,10.9
India,Odisha,"PLFS Year (Jul - Jun), 2022",urban,Male,13.57
India,Odisha,"PLFS Year (Jul - Jun), 2022",urban,Female,25.56
India,Odisha,"PLFS Year (Jul - Jun), 2022",urban,Person,14.25
India,Odisha,"PLFS Year (Jul - Jun), 2022",rural + urban,Male,9.59
India,Odisha,"PLFS Year (Jul - Jun), 2022",rural + urban,Female,16.15
India,Odisha,"PLFS Year (Jul - Jun), 2022",rural + urban,Person,9.34
India,Puducherry,"PLFS Year (Jul - Jun), 2022",rural,Male,17.7
India,Puducherry,"PLFS Year (Jul - Jun), 2022",rural,Female,68.0
India,Puducherry,"PLFS Year (Jul - Jun), 2022",rural,Person,27.61
India,Puducherry,"PLFS Year (Jul - Jun), 2022",urban,Male,13.23
India,Puducherry,"PLFS Year (Jul - Jun), 2022",urban,Female,8.71
India,Puducherry,"PLFS Year (Jul - Jun), 2022",urban,Person,9.75
India,Puducherry,"PLFS Year (Jul - Jun), 2022",rural + urban,Male,12.41
India,Puducherry,"PLFS Year (Jul - Jun), 2022",rural + urban,Female,25.14
India,Puducherry,"PLFS Year (Jul - Jun), 2022",rural + urban,Person,13.46
India,Punjab,"PLFS Year (Jul - Jun), 2022",rural,Male,11.28
India,Punjab,"PLFS Year (Jul - Jun), 2022",rural,Female,12.33
India,Punjab,"PLFS Year (Jul - Jun), 2022",rural,Person,7.82
India,Punjab,"PLFS Year (Jul - Jun), 2022",urban,Male,9.53
India,Punjab,"PLFS Year (Jul - Jun), 2022",urban,Female,15.65
India,Punjab,"PLFS Year (Jul - Jun), 2022",urban,Person,8.6
India,Punjab,"PLFS Year (Jul - Jun), 2022",rural + urban,Male,8.01
India,Punjab,"PLFS Year (Jul - Jun), 2022",rural + urban,Female,9.79
India,Punjab,"PLFS Year (Jul - Jun), 2022",rural + urban,Person,5.97
India,Rajasthan,"PLFS Year (Jul - Jun), 2022",rural,Male,10.9
India,Rajasthan,"PLFS Year (Jul - Jun), 2022",rural,Female,21.0
India,Rajasthan,"PLFS Year (Jul - Jun), 2022",rural,Person,10.2
India,Rajasthan,"PLFS Year (Jul - Jun), 2022",urban,Male,11.04
India,Rajasthan,"PLFS Year (Jul - Jun), 2022",urban,Female,21.13
India,Rajasthan,"PLFS Year (Jul - Jun), 2022",urban,Person,11.73
India,Rajasthan,"PLFS Year (Jul - Jun), 2022",rural + urban,Male,8.46
India,Rajasthan,"PLFS Year (Jul - Jun), 2022",rural + urban,Female,15.1
India,Rajasthan,"PLFS Year (Jul - Jun), 2022",rural + urban,Person,8.0
India,Sikkim,"PLFS Year (Jul - Jun), 2022",rural,Male,52.23
India,Sikkim,"PLFS Year (Jul - Jun), 2022",rural,Female,28.01
India,Sikkim,"PLFS Year (Jul - Jun), 2022",rural,Person,23.67
India,Sikkim,"PLFS Year (Jul - Jun), 2022",urban,Male,52.92
India,Sikkim,"PLFS Year (Jul - Jun), 2022",urban,Female,35.37
India,Sikkim,"PLFS Year (Jul - Jun), 2022",urban,Person,44.12
India,Sikkim,"PLFS Year (Jul - Jun), 2022",rural + urban,Male,44.16
India,Sikkim,"PLFS Year (Jul - Jun), 2022",rural + urban,Female,24.8
India,Sikkim,"PLFS Year (Jul - Jun), 2022",rural + urban,Person,21.18
India,Tamil Nadu,"PLFS Year (Jul - Jun), 2022",rural,Male,12.51
India,Tamil Nadu,"PLFS Year (Jul - Jun), 2022",rural,Female,10.75
India,Tamil Nadu,"PLFS Year (Jul - Jun), 2022",rural,Person,9.15
India,Tamil Nadu,"PLFS Year (Jul - Jun), 2022",urban,Male,5.42
India,Tamil Nadu,"PLFS Year (Jul - Jun), 2022",urban,Female,9.14
India,Tamil Nadu,"PLFS Year (Jul - Jun), 2022",urban,Person,5.15
India,Tamil Nadu,"PLFS Year (Jul - Jun), 2022",rural + urban,Male,7.67
India,Tamil Nadu,"PLFS Year (Jul - Jun), 2022",rural + urban,Female,8.19
India,Tamil Nadu,"PLFS Year (Jul - Jun), 2022",rural + urban,Person,6.18
India,Telangana,"PLFS Year (Jul - Jun), 2022",rural,Male,18.35
India,Telangana,"PLFS Year (Jul - Jun), 2022",rural,Female,31.43
India,Telangana,"PLFS Year (Jul - Jun), 2022",rural,Person,18.82
India,Telangana,"PLFS Year (Jul - Jun), 2022",urban,Male,6.61
India,Telangana,"PLFS Year (Jul - Jun), 2022",urban,Female,13.71
India,Telangana,"PLFS Year (Jul - Jun), 2022",urban,Person,5.89
India,Telangana,"PLFS Year (Jul - Jun), 2022",rural + urban,Male,9.98
India,Telangana,"PLFS Year (Jul - Jun), 2022",rural + urban,Female,18.07
India,Telangana,"PLFS Year (Jul - Jun), 2022",rural + urban,Person,10.31
India,The Dadra and Nagar Haveli and Daman and Diu,"PLFS Year (Jul - Jun), 2022",rural,Male,70.83
India,The Dadra and Nagar Haveli and Daman and Diu,"PLFS Year (Jul - Jun), 2022",rural,Female,84.74
India,The Dadra and Nagar Haveli and Daman and Diu,"PLFS Year (Jul - Jun), 2022",rural,Person,78.14
India,The Dadra and Nagar Haveli and Daman and Diu,"PLFS Year (Jul - Jun), 2022",urban,Male,53.79
India,The Dadra and Nagar Haveli and Daman and Diu,"PLFS Year (Jul - Jun), 2022",urban,Female,104.48
India,The Dadra and Nagar Haveli and Daman and Diu,"PLFS Year (Jul - Jun), 2022",urban,Person,18.39
India,The Dadra and Nagar Haveli and Daman and Diu,"PLFS Year (Jul - Jun), 2022",rural + urban,Male,45.75
India,The Dadra and Nagar Haveli and Daman and Diu,"PLFS Year (Jul - Jun), 2022",rural + urban,Female,66.12
India,The Dadra and Nagar Haveli and Daman and Diu,"PLFS Year (Jul - Jun), 2022",rural + urban,Person,48.19
India,Tripura,"PLFS Year (Jul - Jun), 2022",rural,Male,34.13
India,Tripura,"PLFS Year (Jul - Jun), 2022",rural,Female,45.58
India,Tripura,"PLFS Year (Jul - Jun), 2022",rural,Person,31.84
India,Tripura,"PLFS Year (Jul - Jun), 2022",urban,Male,10.72
India,Tripura,"PLFS Year (Jul - Jun), 2022",urban,Female,29.01
India,Tripura,"PLFS Year (Jul - Jun), 2022",urban,Person,17.49
India,Tripura,"PLFS Year (Jul - Jun), 2022",rural + urban,Male,26.25
India,Tripura,"PLFS Year (Jul - Jun), 2022",rural + urban,Female,25.36
India,Tripura,"PLFS Year (Jul - Jun), 2022",rural + urban,Person,22.9
India,Uttar Pradesh,"PLFS Year (Jul - Jun), 2022",rural,Male,9.62
India,Uttar Pradesh,"PLFS Year (Jul - Jun), 2022",rural,Female,21.72
India,Uttar Pradesh,"PLFS Year (Jul - Jun), 2022",rural,Person,9.07
India,Uttar Pradesh,"PLFS Year (Jul - Jun), 2022",urban,Male,9.58
India,Uttar Pradesh,"PLFS Year (Jul - Jun), 2022",urban,Female,13.86
India,Uttar Pradesh,"PLFS Year (Jul - Jun), 2022",urban,Person,8.7
India,Uttar Pradesh,"PLFS Year (Jul - Jun), 2022",rural + urban,Male,7.13
India,Uttar Pradesh,"PLFS Year (Jul - Jun), 2022",rural + urban,Female,13.39
India,Uttar Pradesh,"PLFS Year (Jul - Jun), 2022",rural + urban,Person,6.62
India,Uttarakhand,"PLFS Year (Jul - Jun), 2022",rural,Male,19.59
India,Uttarakhand,"PLFS Year (Jul - Jun), 2022",rural,Female,39.3
India,Uttarakhand,"PLFS Year (Jul - Jun), 2022",rural,Person,16.57
India,Uttarakhand,"PLFS Year (Jul - Jun), 2022",urban,Male,14.72
