Country,Year,Gender,Technical Education Level (Code),Type Of Areas,"Percentage Distribution (UOM:%(Percentage)), Scaling Factor:1","Estimated Persons (15+) (UOM:Number), Scaling Factor:100","Sample Persons (15+) (UOM:Number), Scaling Factor:1"
India,"PLFS Year (Jul - Jun), 2022",Male,Technical Degree in Crafts -05,Rural+Urban,0.0,,6
India,"PLFS Year (Jul - Jun), 2022",Female,Technical Degree in Crafts -05,Rural+Urban,0.0,,6
India,"PLFS Year (Jul - Jun), 2022",Persons,Technical Degree in Crafts -05,Rural+Urban,0.0,,12
India,"PLFS Year (Jul - Jun), 2022",Male,Technical Degree in Other Subjects -06,Rural,0.4,,337
India,"PLFS Year (Jul - Jun), 2022",Female,Technical Degree in Other Subjects -06,Rural,0.3,,270
India,"PLFS Year (Jul - Jun), 2022",Persons,Technical Degree in Other Subjects -06,Rural,0.3,,607
India,"PLFS Year (Jul - Jun), 2022",Male,Technical Degree in Other Subjects -06,Urban,1.2,,730
India,"PLFS Year (Jul - Jun), 2022",Female,Technical Degree in Other Subjects -06,Urban,1.2,,768
India,"PLFS Year (Jul - Jun), 2022",Persons,Technical Degree in Other Subjects -06,Urban,1.2,,1498
India,"PLFS Year (Jul - Jun), 2022",Male,Technical Degree in Other Subjects -06,Rural+Urban,0.6,,1067
India,"PLFS Year (Jul - Jun), 2022",Female,Technical Degree in Other Subjects -06,Rural+Urban,0.6,,1038
India,"PLFS Year (Jul - Jun), 2022",Persons,Technical Degree in Other Subjects -06,Rural+Urban,0.6,,2105
India,"PLFS Year (Jul - Jun), 2022",Male,Diploma Or Certificate (Below Graduate Level) in Agriculture -07,Rural,0.0,,12
India,"PLFS Year (Jul - Jun), 2022",Female,Diploma Or Certificate (Below Graduate Level) in Agriculture -07,Rural,0.0,,5
India,"PLFS Year (Jul - Jun), 2022",Persons,Diploma Or Certificate (Below Graduate Level) in Agriculture -07,Rural,0.0,,17
India,"PLFS Year (Jul - Jun), 2022",Male,Diploma Or Certificate (Below Graduate Level) in Agriculture -07,Urban,0.0,,12
India,"PLFS Year (Jul - Jun), 2022",Female,Diploma Or Certificate (Below Graduate Level) in Agriculture -07,Urban,0.0,,6
India,"PLFS Year (Jul - Jun), 2022",Persons,Diploma Or Certificate (Below Graduate Level) in Agriculture -07,Urban,0.0,,18
India,"PLFS Year (Jul - Jun), 2022",Male,Diploma Or Certificate (Below Graduate Level) in Agriculture -07,Rural+Urban,0.0,,24
India,"PLFS Year (Jul - Jun), 2022",Female,Diploma Or Certificate (Below Graduate Level) in Agriculture -07,Rural+Urban,0.0,,11
India,"PLFS Year (Jul - Jun), 2022",Persons,Diploma Or Certificate (Below Graduate Level) in Agriculture -07,Rural+Urban,0.0,,35
India,"PLFS Year (Jul - Jun), 2022",Male,Diploma Or Certificate (Below Graduate Level) in Engineering/Technology -08,Rural,0.8,,728
